attributes,category_extraction_fns,threshold,weights,n_clusters_options,true_positives,false_positives,false_negatives,precision,recall,f1,jaccard_index,fbeta
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[2, 1, 1, 1, 1]",[60],1,2,141,0.33333333333333304,0.007042253521126001,0.013793103448275001,0.00314465408805,0.032467532467532464
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[2, 1, 1, 1, 1]",[80],1,2,141,0.33333333333333304,0.007042253521126001,0.013793103448275001,0.00314465408805,0.032467532467532464
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[2, 1, 1, 1, 1]",[100],1,2,141,0.33333333333333304,0.007042253521126001,0.013793103448275001,0.00314465408805,0.032467532467532464
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[3, 1, 1, 1, 1]",[40],1,1,141,0.5,0.007042253521126001,0.013888888888888002,0.00314465408805,0.03333333333333333
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[2, 1, 1, 1, 1]",[120],1,0,141,1.0,0.007042253521126001,0.013986013986013,0.00314465408805,0.03424657534246575
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[3, 1, 1, 1, 1]",[60],1,2,141,0.33333333333333304,0.007042253521126001,0.013793103448275001,0.00314465408805,0.032467532467532464
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[3, 1, 1, 1, 1]",[100],1,2,141,0.33333333333333304,0.007042253521126001,0.013793103448275001,0.00314465408805,0.032467532467532464
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[3, 1, 1, 1, 1]",[80],1,2,141,0.33333333333333304,0.007042253521126001,0.013793103448275001,0.00314465408805,0.032467532467532464
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[3, 1, 1, 1, 1]",[120],1,0,141,1.0,0.007042253521126001,0.013986013986013,0.00314465408805,0.03424657534246575
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[4, 1, 1, 1, 1]",[40],2,1,140,0.6666666666666661,0.014084507042253001,0.027586206896551002,0.0063091482649840006,0.06493506493506493
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[4, 1, 1, 1, 1]",[60],2,2,140,0.5,0.014084507042253001,0.027397260273972,0.0063091482649840006,0.06329113924050633
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[4, 1, 1, 1, 1]",[80],2,2,140,0.5,0.014084507042253001,0.027397260273972,0.0063091482649840006,0.06329113924050633
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[4, 1, 1, 1, 1]",[100],2,2,140,0.5,0.014084507042253001,0.027397260273972,0.0063091482649840006,0.06329113924050633
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[5, 1, 1, 1, 1]",[40],3,2,139,0.6000000000000001,0.02112676056338,0.040816326530612006,0.009493670886075,0.09259259259259259
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[4, 1, 1, 1, 1]",[120],2,0,140,1.0,0.014084507042253001,0.027777777777777003,0.0063091482649840006,0.06666666666666667
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[5, 1, 1, 1, 1]",[60],3,3,139,0.5,0.02112676056338,0.04054054054054,0.009493670886075,0.09036144578313253
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[5, 1, 1, 1, 1]",[80],3,3,139,0.5,0.02112676056338,0.04054054054054,0.009493670886075,0.09036144578313253
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[5, 1, 1, 1, 1]",[100],3,3,139,0.5,0.02112676056338,0.04054054054054,0.009493670886075,0.09036144578313253
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[5, 1, 1, 1, 1]",[120],3,0,139,1.0,0.02112676056338,0.041379310344827,0.009493670886075,0.09740259740259741
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[6, 1, 1, 1, 1]",[40],3,6,139,0.33333333333333304,0.02112676056338,0.039735099337748006,0.009493670886075,0.08426966292134831
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[6, 1, 1, 1, 1]",[60],3,8,139,0.27272727272727204,0.02112676056338,0.039215686274509005,0.009493670886075,0.08064516129032258
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[6, 1, 1, 1, 1]",[80],3,7,139,0.30000000000000004,0.02112676056338,0.039473684210526,0.009493670886075,0.08241758241758242
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[6, 1, 1, 1, 1]",[120],3,2,139,0.6000000000000001,0.02112676056338,0.040816326530612006,0.009493670886075,0.09259259259259259
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept name,0.8,"[6, 1, 1, 1, 1]",[100],3,5,139,0.375,0.02112676056338,0.04,0.009493670886075,0.08620689655172414
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[1, 1, 1, 1, 1]",[40],45,131,97,0.255681818181818,0.316901408450704,0.283018867924528,0.164233576642335,0.26595744680851063
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[1, 1, 1, 1, 1]",[60],50,125,92,0.28571428571428503,0.352112676056338,0.315457413249211,0.18587360594795502,0.29691211401425177
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[1, 1, 1, 1, 1]",[100],53,122,89,0.30285714285714205,0.37323943661971803,0.334384858044164,0.199248120300751,0.3147268408551069
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[1, 1, 1, 1, 1]",[120],53,122,89,0.30285714285714205,0.37323943661971803,0.334384858044164,0.199248120300751,0.3147268408551069
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[1, 1, 1, 1, 1]",[80],52,123,90,0.29714285714285704,0.366197183098591,0.32807570977917905,0.19475655430711603,0.3087885985748218
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[2, 1, 1, 1, 1]",[80],38,137,104,0.21714285714285703,0.26760563380281605,0.23974763406940003,0.13523131672597802,0.22565320665083136
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[2, 1, 1, 1, 1]",[40],32,144,110,0.18181818181818102,0.225352112676056,0.20125786163522003,0.111498257839721,0.18912529550827423
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[2, 1, 1, 1, 1]",[60],34,141,108,0.194285714285714,0.239436619718309,0.21451104100946303,0.11929824561403501,0.20190023752969122
"['header', 'concept_name', 'concept_definition', 'concept_subject']",concept subject,0.2,"[2, 1, 1, 1, 1]",[100],41,134,101,0.23428571428571401,0.288732394366197,0.25867507886435304,0.147482014388489,0.24346793349168647
